ID,Title,SourceSite,AssignedTo,Owner,To Do,Status,Notes,Priority,ParentSite,Item Type,Path,NewParentSite
0,Boat Builder Excellence Program,http://navigator/sites/pmo/Projects/Special_Projects/BBEP/,Paul Vazquez,Laurie Fernald,Migrate to SPO,MIGRATED,,3,http://navigator/sites/pmo/Projects/Special_Projects/,Item,sites/global/it/Lists/MigrationSites,https://navico.sharepoint.com/test
1,Bronze,http://navigator/sites/pmo/Projects/Special_Projects/Bronze/,Paul Vazquez,Laurie Fernald,Migrate to SPO,MIGRATED,,3,http://navigator/sites/pmo/Projects/Special_Projects/,Item,sites/global/it/Lists/MigrationSites,https://navico.sharepoint.com/test
2,Buybook Launch,http://navigator/sites/pmo/Projects/Special_Projects/Buybook2/,Alejandra,Laurie Fernald,Migrate to SPO,MIGRATED,,3,http://navigator/sites/pmo/Projects/Special_Projects/,Item,sites/global/it/Lists/MigrationSites,https://navico.sharepoint.com/test
3,CLC Vendor Portal,http://navigator/sites/pmo/Projects/Special_Projects/CLC_Vendor_Portal/,Paul Vazquez,Laurie Fernald,Migrate to SPO,MIGRATED,,3,http://navigator/sites/pmo/Projects/Special_Projects/,Item,sites/global/it/Lists/MigrationSites,https://navico.sharepoint.com/sites/global/pmo/projects/Special_Projects/
4,Customer Focus Database (CIA),http://navigator/sites/pmo/Projects/Special_Projects/db-to-customer/,Paul Vazquez,Laurie Fernald,Migrate to SPO,MIGRATED,,3,http://navigator/sites/pmo/Projects/Special_Projects/,Item,sites/global/it/Lists/MigrationSites,https://navico.sharepoint.com/sites/global/pmo/projects/Special_Projects/
5,CR Action Phase,http://navigator/sites/pmo/Projects/Special_Projects/CR_action/,Paul Vazquez,Laurie Fernald,Migrate to SPO,MIGRATED,,3,http://navigator/sites/pmo/Projects/Special_Projects/,Item,sites/global/it/Lists/MigrationSites,https://navico.sharepoint.com/sites/global/pmo/projects/Special_Projects/
6,Design Serialization Process and Functionality,http://navigator/sites/pmo/Projects/Special_Projects/DSPF/,Paul Vazquez,Laurie Fernald,Migrate to SPO,MIGRATED,,3,http://navigator/sites/pmo/Projects/Special_Projects/,Item,sites/global/it/Lists/MigrationSites,https://navico.sharepoint.com/sites/global/pmo/projects/Special_Projects/
7,Empowerment,http://navigator/sites/pmo/Projects/Special_Projects/Employee-Survey/Emp/,Paul Vazquez,Laurie Fernald,Migrate to SPO,SKIP,,3,http://navigator/sites/pmo/Projects/Special_Projects/Employee-Survey/,Item,sites/global/it/Lists/MigrationSites,https://navico.sharepoint.com/sites/global/pmo/projects/Special_Projects/
8,Global Forecast Consumption Report Phase 2,http://navigator/sites/pmo/Projects/Special_Projects/FCR_2/,Paul Vazquez,Laurie Fernald,Migrate to SPO,MIGRATED,,3,http://navigator/sites/pmo/Projects/Special_Projects/,Item,sites/global/it/Lists/MigrationSites,https://navico.sharepoint.com/sites/global/pmo/projects/Special_Projects/
9,Kanye,http://navigator/sites/pmo/Projects/Special_Projects/Kanye/,Paul Vazquez,Laurie Fernald,Migrate to SPO,MIGRATED,,3,http://navigator/sites/pmo/Projects/Special_Projects/,Item,sites/global/it/Lists/MigrationSites,https://navico.sharepoint.com/sites/global/pmo/projects/Special_Projects/
